epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
120,532.755,0.77549,0.84893,1.30916,0.88984,0.93917,0.95211,0.84955,0.63693,0.79926,1.20377,0.000513688,0.000513688,0.000513688
121,536.979,0.78072,0.82595,1.30628,0.79101,0.88387,0.9297,0.83499,0.57361,0.96266,1.17399,0.0005075,0.0005075,0.0005075
122,541.216,0.73671,0.78237,1.27276,0.83967,0.90927,0.9406,0.83865,0.60971,0.91834,1.1824,0.000501313,0.000501313,0.000501313
123,545.439,0.71117,0.77747,1.28087,0.94128,0.89446,0.96898,0.86622,0.57083,0.7061,1.17573,0.000495125,0.000495125,0.000495125
124,549.65,0.74999,0.82263,1.32128,0.94489,0.84788,0.96885,0.88533,0.53771,0.72168,1.18728,0.000488938,0.000488938,0.000488938
125,553.93,0.70923,0.78406,1.25803,0.92878,0.87296,0.96012,0.85592,0.57975,0.76798,1.20688,0.00048275,0.00048275,0.00048275
126,558.203,0.71059,0.77393,1.28622,0.933,0.90162,0.95436,0.83444,0.6449,0.77749,1.21315,0.000476562,0.000476562,0.000476562
127,562.448,0.69749,0.75631,1.25086,0.90194,0.8795,0.95206,0.84891,0.58552,0.78901,1.20112,0.000470375,0.000470375,0.000470375
128,566.682,0.73137,0.77459,1.29361,0.86935,0.89716,0.95804,0.86207,0.57104,0.78496,1.17582,0.000464188,0.000464188,0.000464188
129,570.913,0.73745,0.78718,1.26117,0.87569,0.92514,0.95454,0.87411,0.5488,0.75186,1.19258,0.000458,0.000458,0.000458
130,575.137,0.73436,0.75462,1.27335,0.82513,0.91158,0.92376,0.84825,0.54315,0.87894,1.16674,0.000451813,0.000451813,0.000451813
131,579.353,0.70317,0.71971,1.25435,0.84413,0.88471,0.8991,0.77419,0.62675,0.9765,1.20991,0.000445625,0.000445625,0.000445625
132,583.596,0.74781,0.78404,1.27479,0.95791,0.88467,0.96193,0.88356,0.52031,0.70842,1.16974,0.000439437,0.000439437,0.000439437
133,587.826,0.75514,0.76636,1.26755,0.95663,0.93055,0.97142,0.8976,0.51804,0.6766,1.15767,0.00043325,0.00043325,0.00043325
134,592.053,0.77317,0.80993,1.30048,0.9337,0.85222,0.96987,0.85557,0.57163,0.76666,1.16984,0.000427062,0.000427062,0.000427062
135,596.286,0.74349,0.76451,1.27739,0.72203,0.89015,0.93894,0.83364,0.60373,0.98243,1.19646,0.000420875,0.000420875,0.000420875
136,600.529,0.75159,0.73836,1.28768,0.77519,0.83468,0.9288,0.81564,0.57552,0.91216,1.16703,0.000414688,0.000414688,0.000414688
137,604.761,0.71912,0.73754,1.24415,0.89252,0.9292,0.95775,0.82096,0.67562,0.72526,1.192,0.0004085,0.0004085,0.0004085
138,608.986,0.71482,0.70242,1.25861,0.90008,0.91944,0.95732,0.8765,0.52929,0.67683,1.14262,0.000402312,0.000402312,0.000402312
139,613.214,0.72558,0.7768,1.26859,0.90283,0.91995,0.96058,0.8748,0.51926,0.6568,1.13726,0.000396125,0.000396125,0.000396125
140,617.445,0.68397,0.74404,1.27753,0.8452,0.94748,0.96252,0.80333,0.70314,0.75072,1.23717,0.000389938,0.000389938,0.000389938
141,621.675,0.77191,0.76602,1.28742,0.83159,0.9476,0.96234,0.84134,0.6178,0.72584,1.18365,0.00038375,0.00038375,0.00038375
142,625.894,0.69892,0.73197,1.2543,0.93392,0.86636,0.96378,0.86078,0.5471,0.70634,1.16764,0.000377563,0.000377563,0.000377563
143,630.178,0.70772,0.72384,1.25451,0.89987,0.9272,0.9672,0.87324,0.56015,0.68855,1.16347,0.000371375,0.000371375,0.000371375
144,634.473,0.72324,0.74325,1.24667,0.89224,0.96353,0.97094,0.86652,0.59007,0.67023,1.15295,0.000365188,0.000365188,0.000365188
145,638.746,0.70531,0.71505,1.24788,0.91143,0.94781,0.97227,0.87639,0.54714,0.65015,1.13415,0.000359,0.000359,0.000359
146,643.034,0.68695,0.74145,1.27116,0.95433,0.94054,0.96441,0.87121,0.59531,0.67824,1.15427,0.000352812,0.000352812,0.000352812
147,647.341,0.67462,0.67899,1.22516,0.95564,0.92662,0.96484,0.86825,0.5722,0.68226,1.14686,0.000346625,0.000346625,0.000346625
148,651.635,0.70864,0.75287,1.26612,0.9533,0.93237,0.97504,0.89334,0.51307,0.64823,1.13259,0.000340438,0.000340438,0.000340438
149,655.959,0.74515,0.78846,1.30518,0.97586,0.91086,0.96808,0.86921,0.53842,0.69904,1.15461,0.00033425,0.00033425,0.00033425
150,660.213,0.73981,0.69936,1.25761,0.90475,0.933,0.97049,0.8534,0.59154,0.65615,1.16016,0.000328063,0.000328063,0.000328063
151,664.476,0.68952,0.70558,1.24217,0.84111,0.91873,0.96761,0.88637,0.51383,0.67306,1.12423,0.000321875,0.000321875,0.000321875
152,668.771,0.70872,0.70925,1.27116,0.85797,0.89663,0.96851,0.86414,0.55428,0.70206,1.14016,0.000315687,0.000315687,0.000315687
153,673.043,0.65405,0.67373,1.22366,0.87176,0.90753,0.96488,0.85635,0.55117,0.68253,1.14479,0.0003095,0.0003095,0.0003095
154,677.314,0.71718,0.74069,1.26399,0.87329,0.95782,0.96048,0.88417,0.50102,0.69047,1.13453,0.000303313,0.000303313,0.000303313
155,681.593,0.68981,0.678,1.22711,0.87124,0.94126,0.9599,0.89173,0.47417,0.68737,1.1177,0.000297125,0.000297125,0.000297125
156,685.88,0.68723,0.69536,1.21527,0.85886,0.91941,0.96123,0.87825,0.51345,0.7219,1.11604,0.000290937,0.000290937,0.000290937
157,690.114,0.64751,0.67127,1.20036,0.94326,0.8546,0.97201,0.8992,0.49041,0.67183,1.10539,0.00028475,0.00028475,0.00028475
158,694.371,0.66288,0.69292,1.22654,0.97786,0.95117,0.98191,0.89222,0.50644,0.5962,1.11731,0.000278562,0.000278562,0.000278562
159,698.682,0.69108,0.71017,1.2603,0.94016,0.93346,0.97554,0.86704,0.55169,0.64451,1.13699,0.000272375,0.000272375,0.000272375
160,702.92,0.69101,0.68002,1.2422,0.96825,0.91295,0.97521,0.90263,0.48431,0.59515,1.11235,0.000266187,0.000266187,0.000266187
161,707.21,0.64689,0.68005,1.21539,0.9222,0.85928,0.97221,0.89931,0.49125,0.68123,1.11752,0.00026,0.00026,0.00026
162,711.44,0.66668,0.68867,1.23508,0.94671,0.84395,0.97239,0.90317,0.47911,0.68288,1.09166,0.000253812,0.000253812,0.000253812
163,715.69,0.65686,0.65891,1.2318,0.97353,0.87088,0.97548,0.89599,0.51446,0.63071,1.11091,0.000247625,0.000247625,0.000247625
164,719.933,0.67144,0.66272,1.25537,0.8971,0.95121,0.97342,0.90511,0.48349,0.60858,1.10535,0.000241438,0.000241438,0.000241438
165,724.184,0.62539,0.61202,1.17411,0.89957,0.95139,0.97086,0.90792,0.47376,0.63078,1.12058,0.00023525,0.00023525,0.00023525
166,728.421,0.6234,0.63819,1.16161,0.89516,0.94525,0.96894,0.89985,0.4865,0.65927,1.12311,0.000229063,0.000229063,0.000229063
167,732.658,0.65245,0.63313,1.21439,0.87517,0.93319,0.97008,0.90966,0.48615,0.65816,1.12651,0.000222875,0.000222875,0.000222875
168,736.895,0.61125,0.63399,1.20581,0.88856,0.84448,0.96564,0.89859,0.4848,0.77005,1.11789,0.000216688,0.000216688,0.000216688
169,741.119,0.63299,0.64135,1.21937,0.77704,0.94724,0.95779,0.87792,0.5055,0.82857,1.1159,0.0002105,0.0002105,0.0002105
170,745.345,0.67406,0.6781,1.22762,0.91917,0.87417,0.966,0.88758,0.49528,0.71994,1.10648,0.000204313,0.000204313,0.000204313
171,749.575,0.64654,0.65947,1.1952,0.91387,0.95632,0.9794,0.90968,0.47819,0.61201,1.09965,0.000198125,0.000198125,0.000198125
